BBRefName,BBRefLink,BBRefID,BBRefBirthDate,NBAName,NBALink,NBAID,NBABirthDate,ESPNName,ESPNLink,ESPNID,ESPNBirthDate,SpotracName,SpotracLink,SpotracID
A.J. Hammons,https://www.basketball-reference.com/players/h/hammoaj01.html,hammoaj01,8/27/1992,AJ Hammons,https://stats.nba.com/player/1627773/,1627773,8/27/1992,AJ Hammons,http://www.espn.com/nba/player/_/id/2991178/aj-hammons,2991178,8/27/1992,A.J. Hammons,https://www.spotrac.com/redirect/player/20252/,20252
A.J. Price,https://www.basketball-reference.com/players/p/priceaj01.html,priceaj01,10/7/1986,AJ Price,https://stats.nba.com/player/201985/,201985,10/7/1986,A.J. Price,http://www.espn.com/nba/player/_/id/4010/aj-price,4010,10/7/1986,A.J. Price,https://www.spotrac.com/redirect/player/6292/,6292
Aaron Brooks,https://www.basketball-reference.com/players/b/brookaa01.html,brookaa01,1/14/1985,Aaron Brooks,https://stats.nba.com/player/201166/,201166,1/14/1985,Aaron Brooks,http://www.espn.com/nba/player/_/id/3192/aaron-brooks,3192,1/14/1985,Aaron Brooks,https://www.spotrac.com/redirect/player/2390/,2390
Aaron Gordon,https://www.basketball-reference.com/players/g/gordoaa01.html,gordoaa01,9/16/1995,Aaron Gordon,https://stats.nba.com/player/203932/,203932,9/16/1995,Aaron Gordon,http://www.espn.com/nba/player/_/id/3064290/aaron-gordon,3064290,9/16/1995,Aaron Gordon,https://www.spotrac.com/redirect/player/15356/,15356
Aaron Gray,https://www.basketball-reference.com/players/g/grayaa01.html,grayaa01,12/7/1984,Aaron Gray,https://stats.nba.com/player/201189/,201189,12/7/1984,Aaron Gray,http://www.espn.com/nba/player/_/id/3207/aaron-gray,3207,12/7/1984,Aaron Gray,https://www.spotrac.com/redirect/player/2244/,2244
Aaron Harrison,https://www.basketball-reference.com/players/h/harriaa01.html,harriaa01,10/28/1994,Aaron Harrison,https://stats.nba.com/player/1626151/,1626151,10/28/1994,Aaron Harrison,http://www.espn.com/nba/player/_/id/3064510/aaron-harrison,3064510,10/28/1994,Aaron Harrison,https://www.spotrac.com/redirect/player/18009/,18009
Aaron Holiday,https://www.basketball-reference.com/players/h/holidaa01.html,holidaa01,9/30/1996,Aaron Holiday,https://stats.nba.com/player/1628988/,1628988,9/30/1996,Aaron Holiday,http://www.espn.com/nba/player/_/id/3922230/aaron-holiday,3922230,9/30/1996,Aaron Holiday,https://www.spotrac.com/redirect/player/26989/,26989
Aaron Jackson,https://www.basketball-reference.com/players/j/jacksaa01.html,jacksaa01,5/6/1986,Aaron Jackson,https://stats.nba.com/player/1628935/,1628935,5/6/1986,Aaron Jackson,http://www.espn.com/nba/player/_/id/2198243/aaron-jackson,2198243,5/6/1986,Aaron Jackson,https://www.spotrac.com/redirect/player/25087/,25087
Abdel Nader,https://www.basketball-reference.com/players/n/naderab01.html,naderab01,9/25/1993,Abdel Nader,https://stats.nba.com/player/1627846/,1627846,9/25/1993,Abdel Nader,http://www.espn.com/nba/player/_/id/2595435/abdel-nader,2595435,9/25/1993,Abdel Nader,https://www.spotrac.com/redirect/player/20264/,20264
Adam Morrison,https://www.basketball-reference.com/players/m/morriad01.html,morriad01,7/19/1984,Adam Morrison,https://stats.nba.com/player/200747/,200747,7/19/1984,NA,NA,NA,NA,Adam Morrison,https://www.spotrac.com/redirect/player/2234/,2234
Adonis Thomas,https://www.basketball-reference.com/players/t/thomaad01.html,thomaad01,3/25/1993,Adonis Thomas,https://stats.nba.com/player/203519/,203519,3/25/1993,Adonis Thomas,http://www.espn.com/nba/player/_/id/2595274/adonis-thomas,2595274,3/25/1993,Adonis Thomas,https://www.spotrac.com/redirect/player/13593/,13593
Adreian Payne,https://www.basketball-reference.com/players/p/paynead01.html,paynead01,2/19/1991,Adreian Payne,https://stats.nba.com/player/203940/,203940,2/19/1991,Adreian Payne,http://www.espn.com/nba/player/_/id/2531100/adreian-payne,2531100,2/19/1991,Adreian Payne,https://www.spotrac.com/redirect/player/15367/,15367
Al-Farouq Aminu,https://www.basketball-reference.com/players/a/aminual01.html,aminual01,9/21/1990,Al-Farouq Aminu,https://stats.nba.com/player/202329/,202329,9/21/1990,Al-Farouq Aminu,http://www.espn.com/nba/player/_/id/4248/al-farouq-aminu,4248,9/21/1990,Al-Farouq Aminu,https://www.spotrac.com/redirect/player/6890/,6890
Al Harrington,https://www.basketball-reference.com/players/h/harrial01.html,harrial01,2/17/1980,Al Harrington,https://stats.nba.com/player/1733/,1733,2/17/1980,Al Harrington,http://www.espn.com/nba/player/_/id/308/al-harrington,308,2/17/1980,Al Harrington,https://www.spotrac.com/redirect/player/2319/,2319
Al Horford,https://www.basketball-reference.com/players/h/horfoal01.html,horfoal01,6/3/1986,Al Horford,https://stats.nba.com/player/201143/,201143,6/3/1986,Al Horford,http://www.espn.com/nba/player/_/id/3213/al-horford,3213,6/3/1986,Al Horford,https://www.spotrac.com/redirect/player/2199/,2199
Al Jefferson,https://www.basketball-reference.com/players/j/jeffeal01.html,jeffeal01,1/4/1985,Al Jefferson,https://stats.nba.com/player/2744/,2744,1/4/1985,Al Jefferson,http://www.espn.com/nba/player/_/id/2389/al-jefferson,2389,1/4/1985,Al Jefferson,https://www.spotrac.com/redirect/player/2579/,2579
Alan Anderson,https://www.basketball-reference.com/players/a/anderal01.html,anderal01,10/16/1982,Alan Anderson,https://stats.nba.com/player/101187/,101187,10/16/1982,Alan Anderson,http://www.espn.com/nba/player/_/id/6569/alan-anderson,6569,10/16/1982,Alan Anderson,https://www.spotrac.com/redirect/player/9261/,9261
Alan Williams,https://www.basketball-reference.com/players/w/willial03.html,willial03,1/28/1993,Alan Williams,https://stats.nba.com/player/1626210/,1626210,1/28/1993,Alan Williams,http://www.espn.com/nba/player/_/id/2579326/alan-williams,2579326,1/28/1993,Alan Williams,https://www.spotrac.com/redirect/player/18820/,18820
Alec Burks,https://www.basketball-reference.com/players/b/burksal01.html,burksal01,7/20/1991,Alec Burks,https://stats.nba.com/player/202692/,202692,7/20/1991,Alec Burks,http://www.espn.com/nba/player/_/id/6429/alec-burks,6429,7/20/1991,Alec Burks,https://www.spotrac.com/redirect/player/8063/,8063
Alec Peters,https://www.basketball-reference.com/players/p/peteral01.html,peteral01,4/13/1995,Alec Peters,https://stats.nba.com/player/1628409/,1628409,4/13/1995,Alec Peters,http://www.espn.com/nba/player/_/id/3062897/alec-peters,3062897,4/13/1995,Alec Peters,https://www.spotrac.com/redirect/player/23655/,23655
Alex Acker,https://www.basketball-reference.com/players/a/ackeral01.html,ackeral01,1/21/1983,Alex Acker,https://stats.nba.com/player/101165/,101165,1/21/1983,NA,NA,NA,NA,Alex Acker,https://www.spotrac.com/redirect/player/6115/,6115
Alex Caruso,https://www.basketball-reference.com/players/c/carusal01.html,carusal01,2/28/1994,Alex Caruso,https://stats.nba.com/player/1627936/,1627936,2/28/1994,Alex Caruso,http://www.espn.com/nba/player/_/id/2991350/alex-caruso,2991350,2/28/1994,Alex Caruso,https://www.spotrac.com/redirect/player/21076/,21076
Alex Kirk,https://www.basketball-reference.com/players/k/kirkal01.html,kirkal01,11/14/1991,Alex Kirk,https://stats.nba.com/player/203945/,203945,11/14/1991,Alex Kirk,http://www.espn.com/nba/player/_/id/2528355/alex-kirk,2528355,11/14/1991,Alex Kirk,https://www.spotrac.com/redirect/player/15701/,15701
Alex Len,https://www.basketball-reference.com/players/l/lenal01.html,lenal01,6/16/1993,Alex Len,https://stats.nba.com/player/203458/,203458,6/16/1993,Alex Len,http://www.espn.com/nba/player/_/id/2596107/alex-len,2596107,6/16/1993,Alex Len,https://www.spotrac.com/redirect/player/13318/,13318
Alex Poythress,https://www.basketball-reference.com/players/p/poythal01.html,poythal01,9/6/1993,Alex Poythress,https://stats.nba.com/player/1627816/,1627816,9/6/1993,Alex Poythress,http://www.espn.com/nba/player/_/id/2991283/alex-poythress,2991283,9/6/1993,Alex Poythress,https://www.spotrac.com/redirect/player/20970/,20970
Alex Stepheson,https://www.basketball-reference.com/players/s/stephal01.html,stephal01,8/7/1987,Alex Stepheson,https://stats.nba.com/player/1627293/,1627293,8/7/1987,Alex Stepheson,http://www.espn.com/nba/player/_/id/2232862/alex-stepheson,2232862,8/7/1987,Alex Stepheson,https://www.spotrac.com/redirect/player/18281/,18281
Alexey Shved,https://www.basketball-reference.com/players/s/shvedal01.html,shvedal01,12/16/1988,Alexey Shved,https://stats.nba.com/player/203144/,203144,12/16/1988,Alexey Shved,http://www.espn.com/nba/player/_/id/3882/alexey-shved,3882,12/16/1988,Alexey Shved,https://www.spotrac.com/redirect/player/11060/,11060
Alfonzo McKinnie,https://www.basketball-reference.com/players/m/mckinal01.html,mckinal01,9/17/1992,Alfonzo McKinnie,https://stats.nba.com/player/1628035/,1628035,9/17/1992,Alfonzo McKinnie,http://www.espn.com/nba/player/_/id/2530923/alfonzo-mckinnie,2530923,9/17/1992,Alfonzo McKinnie,https://www.spotrac.com/redirect/player/24106/,24106
Alize Johnson,https://www.basketball-reference.com/players/j/johnsal02.html,johnsal02,4/22/1996,Alize Johnson,https://stats.nba.com/player/1628993/,1628993,4/22/1996,Alize Johnson,http://www.espn.com/nba/player/_/id/4067045/alize-johnson,4067045,4/22/1996,Alize Johnson,https://www.spotrac.com/redirect/player/27016/,27016
Allan Houston,https://www.basketball-reference.com/players/h/houstal01.html,houstal01,4/20/1971,Allan Houston,https://stats.nba.com/player/275/,275,4/20/1971,NA,NA,NA,NA,Allan Houston,https://www.spotrac.com/redirect/player/18450/,18450
Allen Crabbe,https://www.basketball-reference.com/players/c/crabbal01.html,crabbal01,4/9/1992,Allen Crabbe,https://stats.nba.com/player/203459/,203459,4/9/1992,Allen Crabbe,http://www.espn.com/nba/player/_/id/2531210/allen-crabbe,2531210,4/9/1992,Allen Crabbe,https://www.spotrac.com/redirect/player/13344/,13344
Allen Iverson,https://www.basketball-reference.com/players/i/iversal01.html,iversal01,6/7/1975,Allen Iverson,https://stats.nba.com/player/947/,947,6/7/1975,NA,NA,NA,NA,Allen Iverson,https://www.spotrac.com/redirect/player/6251/,6251
Allonzo Trier,https://www.basketball-reference.com/players/t/trieral01.html,trieral01,1/17/1996,Allonzo Trier,https://stats.nba.com/player/1629019/,1629019,1/17/1996,Allonzo Trier,http://www.espn.com/nba/player/_/id/3907525/allonzo-trier,3907525,1/17/1996,Allonzo Trier,https://www.spotrac.com/redirect/player/27606/,27606
Alonzo Gee,https://www.basketball-reference.com/players/g/geeal01.html,geeal01,5/29/1987,Alonzo Gee,https://stats.nba.com/player/202087/,202087,5/29/1987,Alonzo Gee,http://www.espn.com/nba/player/_/id/4232/alonzo-gee,4232,5/29/1987,Alonzo Gee,https://www.spotrac.com/redirect/player/6486/,6486
Alonzo Mourning,https://www.basketball-reference.com/players/m/mournal01.html,mournal01,2/8/1970,Alonzo Mourning,https://stats.nba.com/player/297/,297,2/8/1970,NA,NA,NA,NA,Alonzo Mourning,https://www.spotrac.com/redirect/player/13389/,13389
Amar'e Stoudemire,https://www.basketball-reference.com/players/s/stoudam01.html,stoudam01,11/16/1982,Amar'e Stoudemire,https://stats.nba.com/player/2405/,2405,11/16/1982,Amar'e Stoudemire,http://www.espn.com/nba/player/_/id/1727/amare-stoudemire,1727,11/16/1982,Amar'e Stoudemire,https://www.spotrac.com/redirect/player/2669/,2669
Amile Jefferson,https://www.basketball-reference.com/players/j/jeffeam01.html,jeffeam01,5/7/1993,Amile Jefferson,https://stats.nba.com/player/1628518/,1628518,5/7/1993,Amile Jefferson,http://www.espn.com/nba/player/_/id/2982249/amile-jefferson,2982249,5/7/1993,Amile Jefferson,https://www.spotrac.com/redirect/player/24422/,24422
